Year,Nominee,Movie,Winner
,Nine,Nine,False
,Precious,Precious,False
,The King's Speech,The King's Speech,True
,Black Swan,Black Swan,False
,The Fighter,The Fighter,False
,The Kids Are All Right,The Kids Are All Right,False
,The Social Network,The Social Network,False
,The Help,The Help,True
,The Artist,The Artist,False
,Bridesmaids,Bridesmaids,False
,The Descendants,The Descendants,False
,Midnight in Paris,Midnight in Paris,False
,Argo,Argo,True
,The Best Exotic Marigold Hotel,The Best Exotic Marigold Hotel,False
,Les Misérables,Les Misérables,False
,Lincoln,Lincoln,False
,Silver Linings Playbook,Silver Linings Playbook,False
,American Hustle,American Hustle,True
,12 Years a Slave,12 Years a Slave,False
,August: Osage County,August: Osage County,False
,The Butler,The Butler,False
,Dallas Buyers Club,Dallas Buyers Club,False
,Birdman,Birdman,True
,Boyhood,Boyhood,False
,The Grand Budapest Hotel,The Grand Budapest Hotel,False
,The Imitation Game,The Imitation Game,False
,The Theory of Everything,The Theory of Everything,False
,Spotlight,Spotlight,True
,Beasts of No Nation,Beasts of No Nation,False
,The Big Short,The Big Short,False
,Straight Outta Compton,Straight Outta Compton,False
,Trumbo,Trumbo,False
,Hidden Figures,Hidden Figures,True
,Captain Fantastic,Captain Fantastic,False
,Fences,Fences,False
,Manchester by the Sea,Manchester by the Sea,False
,Moonlight,Moonlight,False
,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",True
,The Big Sick,The Big Sick,False
,Get Out,Get Out,False
,Lady Bird,Lady Bird,False
,Mudbound,Mudbound,False
,Black Panther,Black Panther,True
,BlacKkKlansman,BlacKkKlansman,False
,Bohemian Rhapsody,Bohemian Rhapsody,False
,Crazy Rich Asians,Crazy Rich Asians,False
,A Star Is Born,A Star Is Born,False
,Parasite,Parasite,True
,Bombshell,Bombshell,False
,The Irishman,The Irishman,False
,Jojo Rabbit,Jojo Rabbit,False
,Once Upon a Time in Hollywood,Once Upon a Time in Hollywood,False
,The Trial of the Chicago 7,The Trial of the Chicago 7,True
,Da 5 Bloods,Da 5 Bloods,False
,Ma Rainey's Black Bottom,Ma Rainey's Black Bottom,False
,Minari,Minari,False
,One Night in Miami...,One Night in Miami...,False
,CODA,CODA,True
,Belfast,Belfast,False
,Don't Look Up,Don't Look Up,False
,House of Gucci,House of Gucci,False
,King Richard,King Richard,False
,Everything Everywhere All at Once,Everything Everywhere All at Once,True
,Babylon,Babylon,False
,The Banshees of Inisherin,The Banshees of Inisherin,False
,The Fabelmans,The Fabelmans,False
,Women Talking,Women Talking,False
,Oppenheimer,Oppenheimer,True
,American Fiction,American Fiction,False
,Barbie,Barbie,False
,The Color Purple,The Color Purple,False
,Killers of the Flower Moon,Killers of the Flower Moon,False
,Conclave,Conclave,True
,Anora,Anora,False
,A Complete Unknown,A Complete Unknown,False
,Emilia Pérez,Emilia Pérez,False
,Wicked,Wicked,False
,"2025
(32nd)",,False
,Sinners,Sinners,True
,Frankenstein,Frankenstein,False
,Hamnet,Hamnet,False
,Marty Supreme,Marty Supreme,False
,One Battle After Another,One Battle After Another,False
