Year,Nominee,Movie,Winner
2012,Life of Pi,Life of Pi,False
2012,Lincoln,Lincoln,False
2012,The Master,The Master,False
2012,Moonrise Kingdom,Moonrise Kingdom,False
2012,Silver Linings Playbook,Silver Linings Playbook,False
2012,Zero Dark Thirty,Zero Dark Thirty,False
2013,12 Years a Slave ‡,12 Years a Slave ‡,True
2013,American Hustle,American Hustle,False
2013,Captain Phillips,Captain Phillips,False
2013,Dallas Buyers Club,Dallas Buyers Club,False
2013,Gravity,Gravity,False
2013,Her,Her,False
2013,Inside Llewyn Davis,Inside Llewyn Davis,False
2013,Nebraska,Nebraska,False
2013,Saving Mr. Banks,Saving Mr. Banks,False
2013,The Wolf of Wall Street,The Wolf of Wall Street,False
2014,Boyhood,Boyhood,True
2014,Birdman ‡,Birdman ‡,False
2014,Gone Girl,Gone Girl,False
2014,The Grand Budapest Hotel,The Grand Budapest Hotel,False
2014,The Imitation Game,The Imitation Game,False
2014,Nightcrawler,Nightcrawler,False
2014,Selma,Selma,False
2014,The Theory of Everything,The Theory of Everything,False
2014,Unbroken,Unbroken,False
2014,Whiplash,Whiplash,False
2015,Spotlight ‡,Spotlight ‡,True
2015,The Big Short,The Big Short,False
2015,Bridge of Spies,Bridge of Spies,False
2015,Brooklyn,Brooklyn,False
2015,Carol,Carol,False
2015,Mad Max: Fury Road,Mad Max: Fury Road,False
2015,The Martian,The Martian,False
2015,The Revenant,The Revenant,False
2015,Room,Room,False
2015,Sicario,Sicario,False
2015,Star Wars: The Force Awakens,Star Wars: The Force Awakens,False
2016,La La Land,La La Land,True
2016,Arrival,Arrival,False
2016,Fences,Fences,False
2016,Hacksaw Ridge,Hacksaw Ridge,False
2016,Hell or High Water,Hell or High Water,False
2016,Lion,Lion,False
2016,Loving,Loving,False
2016,Manchester by the Sea,Manchester by the Sea,False
2016,Moonlight ‡,Moonlight ‡,False
2016,Sully,Sully,False
2017,The Shape of Water ‡,The Shape of Water ‡,True
2017,The Big Sick,The Big Sick,False
2017,Call Me by Your Name,Call Me by Your Name,False
2017,Darkest Hour,Darkest Hour,False
2017,Dunkirk,Dunkirk,False
2017,The Florida Project,The Florida Project,False
2017,Get Out,Get Out,False
2017,Lady Bird,Lady Bird,False
2017,The Post,The Post,False
2017,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",False
2018,Roma,Roma,True
2018,BlacKkKlansman,BlacKkKlansman,False
2018,Black Panther,Black Panther,False
2018,The Favourite,The Favourite,False
2018,First Man,First Man,False
2018,Green Book ‡,Green Book ‡,False
2018,If Beale Street Could Talk,If Beale Street Could Talk,False
2018,Mary Poppins Returns,Mary Poppins Returns,False
2018,A Star Is Born,A Star Is Born,False
2018,Vice,Vice,False
2019,Once Upon a Time in Hollywood,Once Upon a Time in Hollywood,True
2019,1917,1917,False
2019,Ford v Ferrari,Ford v Ferrari,False
2019,The Irishman,The Irishman,False
2019,Jojo Rabbit,Jojo Rabbit,False
2019,Joker,Joker,False
2019,Little Women,Little Women,False
2019,Marriage Story,Marriage Story,False
2019,Parasite ‡,Parasite ‡,False
2019,Uncut Gems,Uncut Gems,False
2020,Nomadland ‡,Nomadland ‡,True
2020,Da 5 Bloods,Da 5 Bloods,False
2020,Ma Rainey's Black Bottom,Ma Rainey's Black Bottom,False
2020,Mank,Mank,False
2020,Minari,Minari,False
2020,News of the World,News of the World,False
2020,One Night in Miami...,One Night in Miami...,False
2020,Promising Young Woman,Promising Young Woman,False
2020,Sound of Metal,Sound of Metal,False
2020,The Trial of the Chicago 7,The Trial of the Chicago 7,False
2021,The Power of the Dog,The Power of the Dog,True
2021,Belfast,Belfast,False
2021,CODA ‡,CODA ‡,False
2021,Don't Look Up,Don't Look Up,False
2021,Dune,Dune,False
2021,King Richard,King Richard,False
2021,Licorice Pizza,Licorice Pizza,False
2021,Nightmare Alley,Nightmare Alley,False
2021,"tick, tick... BOOM!","tick, tick... BOOM!",False
2021,West Side Story,West Side Story,False
2022,Everything Everywhere All at Once ‡,Everything Everywhere All at Once ‡,True
2022,Avatar: The Way of Water,Avatar: The Way of Water,False
2022,Babylon,Babylon,False
2022,The Banshees of Inisherin,The Banshees of Inisherin,False
2022,Elvis,Elvis,False
2022,The Fabelmans,The Fabelmans,False
2022,Glass Onion: A Knives Out Mystery,Glass Onion: A Knives Out Mystery,False
2022,RRR,RRR,False
2022,Tár,Tár,False
2022,Top Gun: Maverick,Top Gun: Maverick,False
2022,Women Talking,Women Talking,False
2023,Oppenheimer‡,Oppenheimer‡,True
2023,American Fiction,American Fiction,False
2023,Barbie,Barbie,False
2023,The Color Purple,The Color Purple,False
2023,The Holdovers,The Holdovers,False
2023,Killers of the Flower Moon,Killers of the Flower Moon,False
2023,Maestro,Maestro,False
2023,Past Lives,Past Lives,False
2023,Poor Things,Poor Things,False
2023,Saltburn,Saltburn,False
2024[16],Anora‡,Anora‡,True
2024[16],A Complete Unknown,A Complete Unknown,False
2024[16],The Brutalist,The Brutalist,False
2024[16],Conclave,Conclave,False
2024[16],Dune: Part Two,Dune: Part Two,False
2024[16],Emilia Pérez,Emilia Pérez,False
2024[16],Nickel Boys,Nickel Boys,False
2024[16],Sing Sing,Sing Sing,False
2024[16],The Substance,The Substance,False
2024[16],Wicked,Wicked,False
2025,One Battle After Another,One Battle After Another,True
2025,Bugonia,Bugonia,False
2025,Frankenstein,Frankenstein,False
2025,Hamnet,Hamnet,False
2025,Jay Kelly,Jay Kelly,False
2025,Marty Supreme,Marty Supreme,False
2025,Sentimental Value,Sentimental Value,False
2025,Sinners,Sinners,False
2025,Train Dreams,Train Dreams,False
2025,Wicked: For Good,Wicked: For Good,False
